Special thanks to https://docs.google.com/spreadsheets/d/178o8U97P2cpb0RZbZBvGIoX4bPhUm_lPczg6elfIj9s/edit?gid=1542902078#gid=1542902078

Item ID	Item Name
0	-
4	Potion
5	Mega Potion
12	Antidote
6	Max Potion
7	Ancient Potion
14	Nulberry
9	Ration
8	Well-done Steak
10	Rare Steak
11	Burnt Meat
31	Lifepowder
64	Raw Meat
70	Barrel Bomb
72	Large Barrel Bomb
81	Flash Pod
184	Stone
154	Capture Net
77	Pitfall Trap
78	Shock Trap
3	Whetstone
153	Binoculars
150	Camping Kit
151	Portable BBQ Grill
40	Herb
41	Antidote Herb
39	Honey
91	Bitterbug Broth
92	Flashbug Phosphor
93	Godbug Essence
94	Thunderbug Capacitor
330	
329	
331	
332	
240	Beast Gem
108	Normal Ammo
109	Pierce Ammo
110	Spread Ammo
111	Sticky Ammo
112	Cluster Bomb
113	Flaming Ammo
114	Water Ammo
115	Thunder Ammo
116	Freeze Ammo
117	Dragon Ammo
118	Poison Ammo
119	Paralysis Ammo
120	Sleep Ammo
124	Slicing Ammo
183	Thorngrass Pod
199	Iron Ore
200	Machalite Ore
201	Dragonite Ore
202	Carbalite Ore
204	Earth Crystal
213	Mystery Bone
211	Sturdy Bone
224	
225	Colossal Bone
217	Dragonbone Relic
52	Mandragora
51	Blue Mushroom
181	Burst Pod
82	Screamer Pod
179	Bleeding Pod
83	Dung Pod
76	Trap Tool
57	Exciteshroom
47	Smokenut
46	Ivy
63	Farcaster
320	
319	
321	
322	Balahara Tail
278	
277	
279	
276	
286	
287	
289	
290	
241	Wyvern Gem
218	Herbivore Shell
257	
259	
222	
220	
223	Acute Fang
80	Dung
736	#Rejected#
79	Rolled-up Dung
483	
484	
485	
486	
487	
56	Toadstool
55	Parashroom
45	Sleep Herb
42	Fire Herb
43	Flowfern
44	Snow Herb
48	Dragonfell Berry
128	First-aid Med
130	121: brown supply meat, cures bleed?
142	supply flash pod?
133	EZ Shock Trap
134	EZ Pitfall Trap
50	125: ivory herb?
23	Might Seed
27	Adamant Seed
53	Nitroshroom
54	129: rose mushroom?
87	Blastnut
89	Slashberry
363	
364	
365	
366	
367	Rey Dau Tail
368	Rey Dau Plate
86	Tranq Blade
61	Smoke Bomb
37	
38	153: cures defense down?
123	Wyvern Ammo
180	Grounding Pod
572	156: equipment accessory item?
573	157: equipment accessory item?
574	158: equipment accessory item?
575	
576	
163	Ghillie Mantle
152	Fishing Rod
15	Energy Drink
22	
20	Immunizer
18	Cool Drink
19	Hot Drink
24	Demondrug
26	Might Pill
25	
28	Armourskin
30	Adamant Pill
29	173: cures defense down?
13	Herbal Medicine
33	Herbal Powder
34	Demon Powder
35	Hardshell Powder
32	
16	Cleanser
62	Poison Smoke Bomb
60	Tranq Bomb
2	Throwing Knife
176	183: poison throwing knife?
178	184: paralysis throwing knife?
67	Drugged Meat
185	
186	Torch Pod
187	190: water slinger pod?
191	191: slinger pod?
192	
1	Paint Pod
85	Luring Pod
73	
129	First-aid Med+
131	199: ivory supply pills?
135	
137	201: cures poison?
138	
139	203: cures defense down?
136	
149	supply tranq bomb?
140	206: brown supply slinger ammo?
143	EZ Sonic Bomb
66	Tinged Meat
132	209: vermilion supply great barrelbomb?
148	210: green supply smoke bomb?
65	Poisoned Meat
17	Deodorant
678	Kunafa Cheese
679	
680	Droolshroom
681	
682	Mud Shrimp
683	
684	
685	
686	
687	
688	Wild Herb
689	Eastern Honey
690	Monster Chili
691	
692	
693	228: Unknown
605	
606	
694	Windward Aloe
695	Fine Windward Aloe
696	Great Windward Aloe
697	Sandpepper
698	Fiery Sandpepper
699	Fulgurite Shard
700	Pure Fulgurite
701	Thundering Fulgurite
702	239: special item?
703	240: special item?
704	241: special item?
705	242: special item?
706	243: special item?
707	244: special item?
708	245: special item?
709	246: special item?
710	247: special item?
711	248: special item?
712	249: special item?
713	250: special item?
714	251: special item?
715	252: special item?
716	253: special item?
717	254: special item?
718	255: special item?
719	256: special item?
720	257: special item?
721	Wylk Pebble
722	Wylk Gem
723	Time-honed Wylk Gem
724	Ancient Fossil
725	Flowing Sea Squirt
726	Royal Sea Squirt
727	264: special item?
728	265: special item?
729	Nightflower Pollen
730	Fossilized Opal
731	Fossilized Fire Opal
732	Genesis Opal
733	Wyvernsprout
95	Whetfish Fin
97	Sushifish Scale
298	
299	
300	
302	
297	
743	Screamer Pod
737	280: Unknown
661	281: Unknown
662	282: Unknown
738	283: Unknown
739	284: Unknown
188	285: electric slinger pod?
189	286: ice slinger pod?
190	287: dragon slinger pod?
744	
182	289: ice slinger pod?
88	Dragonstrike Nut
90	Bomberry
280	
281	Chatacabra Scale+
283	Chatacabra Jaw
282	Chatacabra Hide+
284	Chatacabra Hardshell
285	Chatacabra Certificate S
470	
288	
291	
292	301: monster drop?
293	
294	303: monster drop?
295	
296	
303	
304	
305	
306	
308	
324	
325	Balahara Scale+
326	Balahara Carapace
327	Balahara Skull+
328	Balahara Certificate S
333	
334	Doshaguma Fur+
335	Doshaguma Hide+
336	Doshaguma Claw+
337	Doshaguma Fang+
338	Doshaguma Certificate S
339	
340	
341	
342	
343	
344	
345	
346	
347	
348	
349	
350	
351	
352	
353	
354	
355	
356	
357	
358	
359	
360	
361	
362	
369	
370	Rey Dau Scale+
371	Rey Dau Carapace
372	Rey Dau Bolthorn
373	Rey Dau Boltwingtalon
374	Rey Dau Boltgem
375	Rey Dau Certificate S
386	
387	
388	
389	
390	
391	
392	
393	
394	
395	
396	
397	
398	
399	
400	
401	
402	
403	
404	
405	
406	
