guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Unused,Unused,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Arabic,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,LatinAmericanSpanish
549d628c-580f-45e0-acd3-aa8ca8923649,1687935690,Item_IT_1,---,---,---,---,---,---,---,---,,,---,---,---,---,,,,,,,,---,,,,,,,,,,,---
8d2dba3d-deb4-425d-9329-3f0d89cbfb51,2516126045,Item_IT_EXP_1,---,---,---,---,---,---,---,---,,,---,---,---,---,,,,,,,,---,,,,,,,,,,,---
bbf28943-461d-45a7-b621-508eec82cb54,3466813543,Item_IT_2,回復薬,Potion,Potion,Pozione,Trank,Poción,Зелье,Mikstura,,,Poção,회복약,回復藥,回复药,,,,,,,,جرعة,,,,,,,,,,,Poción
883bcb29-3eaa-4c00-bbd5-2959b453858f,775027947,Item_IT_EXP_2,体力を少量回復する薬。,Restores a small amount of health.,Restaure une petite quantité de vie.,"Ripristina una modesta
quantità di salute.","Stellt eine geringe Menge
Gesundheit wieder her.",Restablece algo de salud.,"Восстанавливает небольшую часть
запаса здоровья.",Przywraca niewielką ilość zdrowia.,,,"Recupera uma pequena
quantidade de vida.",체력을 약간 회복하는 약.,回復少量體力的藥。,可回复少量体力的药。,,,,,,,,"تستعيد كمية صغيرة
من الصحة.",,,,,,,,,,,Restablece algo del nivel de salud.
a9fd4ceb-360c-44ed-a134-07e872dee9e5,2119817508,Item_IT_3,回復薬グレート,Mega Potion,Méga potion,Mega pozione,Mega-Trank,Megapoción,Мегазелье,Megamikstura,,,Megapoção,그레이트 회복약,回復藥・大,回复药G,,,,,,,,جرعة عملاقة,,,,,,,,,,,Megapoción
86bd7296-8dcf-42c2-b817-e04e9ef70a31,1561627473,Item_IT_EXP_3,体力を中量回復する薬。,"Restores a moderate amount
of health.",Restaure une quantité modérée de vie.,"Ripristina una notevole
quantità di salute.","Stellt eine mittlere Menge
Gesundheit wieder her.","Restablece bastante
el nivel de salud.","Восстанавливает умеренную часть
запаса здоровья.",Przywraca średnią ilość zdrowia.,,,"Recupera uma quantidade
razoável de vida.",체력을 적당히 회복하는 약.,回復中量體力的藥。,可回复中量体力的药。,,,,,,,,"تستعيد كمية متوسطة
من الصحة.",,,,,,,,,,,"Restablece moderadamente
el nivel de salud."
63c5f2e9-5bb8-4e9e-86b7-70658d9ffbbb,4104080403,Item_IT_4,解毒薬,Antidote,Antidote,Antidoto,Gegengift,Antídoto,Противоядие,Antidotum,,,Antídoto,해독약,解毒藥,解毒药,,,,,,,,الترياق,,,,,,,,,,,Antídoto
91fc3848-6889-45bf-b6f9-16e90995f97d,1650472119,Item_IT_EXP_4,毒状態を回復する薬。,A cure for poison.,Un remède contre le poison.,Cura l'avvelenamento.,"Der Name sagt alles:
Dieses Objekt ist ein Gegengift.",Cura para el veneno.,Избавляет от отравления.,Lek na truciznę.,,,Cura veneno.,독 상태를 회복하는 약.,解除毒狀態的藥。,可解除中毒状态的药。,,,,,,,,ترياق السم.,,,,,,,,,,,Cura para el veneno.
0df7df31-ef10-4c89-afca-9344809b346f,3406164072,Item_IT_5,秘薬,Max Potion,Potion secrète,Pillola della salute,Maxi-Trank,Poción máxima,Зелье максимума,Maksmikstura,,,Poção Máxima,비약,秘藥,秘药,,,,,,,,الجرعة القصوى,,,,,,,,,,,Poción máxima
73cebd02-8407-4272-b187-2f85fe53748a,2921779016,Item_IT_EXP_5,"体力の上限が最大まで上昇し、
完全回復する薬。
体力の上限は一定時間で元に戻る。","Fully restores health and
temporarily maximizes the
size of your Health Gauge.","Restaure toute la vie et
maximise temporairement
la taille de la jauge de vie.","Ripristina tutta la salute e
aumenta di molto la barra salute
per un po'.","Stellt Gesundheit vollständig
wieder her und maximiert kurz-
zeitig den Gesundheitsbalken.","Restablece la salud por completo
y aumenta temporalmente el
tamaño de la barra de salud.","Полностью исцеляет и на время
увеличивает шкалу здоровья
до максимума.","Przywraca całe zdrowie i
tymczasowo wydłuża
pasek zdrowia do maksimum.",,,"Recupera a vida inteira e
maximiza temporariamente
o tamanho da Barra de Vida.","일정 시간 동안 체력 상한이
최대로 상승하고
체력을 완전히 회복하는 약.","提升體力上限到最大，並完全回復
體力的藥。體力上限會在一段時間
後恢復原狀。","提升体力上限到最大，并完全回复
体力的药。体力上限将在一定时间
后恢复原状。",,,,,,,,"تستعيد كامل الصحة
وترفع مؤقتًا مقياس الصحة
إلى الحد الأقصى.",,,,,,,,,,,"Restablece la salud por completo
y maximiza temporalmente
el tamaño de tu barra de salud."
b2e18884-6699-4728-a10e-98bdc82c1808,1049051554,Item_IT_6,いにしえの秘薬,Ancient Potion,Potion ancestrale,Pillola antica,Uralter Trank,Poción antigua,Древнее зелье,Pradawna mikstura,,,Poção Ancestral,고대의 비약,古老秘藥,远古秘药,,,,,,,,الجرعة القديمة,,,,,,,,,,,Poción antigua
e988f167-c305-44f0-9dd8-03f308cc53b8,4037924834,Item_IT_EXP_6,"体力とスタミナの上限が最大まで
上昇し、完全回復する薬。
体力の上限は一定時間で元に戻る。","Fully restores health and
temporarily maximizes the size of
your Health and Stamina Gauges.","Restaure toute la vie et
maximise temporairement la taille
des jauges de vie et d'endurance.","Ripristina tutta la salute e
aumenta di molto le barre salute
e resistenza per un po'.","Stellt Gesundheit ganz wieder
her und maximiert kurzzeitig
Gesundheit und Ausdauer.","Restablece la salud por completo
y aumenta al máximo temporalmente
las barras de salud y resistencia.","Полностью исцеляет и на время
увеличивает шкалы здоровья
и выносливости до максимума.","Przywraca całe zdrowie i czasowo
zwiększa do maksimum długość
pasków zdrowia i wytrzymałości.",,,"Recupera a vida inteira e maximiza
temporariamente o tamanho das
Barras de Vida e Vigor.","체력과 스태미나 상한이 최대로
상승하고 완전히 회복하는 약.
체력 상한 상승은 일시적이다.","提升體力和耐力上限到最大，並完全
回復體力和耐力的藥。體力上限會在
一段時間後恢復原狀。","提升体力和耐力上限到最大，并完
全回复体力和耐力的药。体力上限
将在一定时间后恢复原状。",,,,,,,,"تستعيد كامل الصحة
وترفع مؤقتًا مقياسيّ الصحة وقوة التحمل
إلى الحد الأقصى.",,,,,,,,,,,"Restablece la salud por completo
y temporalmente maximiza tus
barras de salud y resistencia."
0b0279d4-6e8e-4e13-954f-438813b9732b,2905558791,Item_IT_7,ウチケシの実,Nulberry,Baie-soin,Nulbacca,Nullbeere,Curibaya,Чистиника,Oczystka,,,Nulafruta,지움열매,打消果實,打消果实,,,,,,,,نولبيري,,,,,,,,,,,Curibaya
9e6fc9dc-9d9e-4b76-8c93-c408516ebae5,704012134,Item_IT_EXP_7,様々な属性やられを治す実。,"A mysterious berry that cures various
blights.","Une baie mystérieuse qui
guérit divers fléaux.","Misteriosa bacca che cura
alcuni tipi di malus.","Eine geheimnisvolle Beere,
die verschiedene Pestarten
heilt.","Baya misteriosa que cura
varias plagas.","Загадочная ягода, избавляющая
от различной порчи.","Tajemnicza jagoda, która leczy
różne plagi.",,,"Uma fruta misteriosa que cura
vários flagelos.","다양한 속성 피해를
치료하는 열매.",治癒各種屬性異常的果實。,治愈各种属性异常的果实。,,,,,,,,توت غامض يعالج أوبئة متعددة.,,,,,,,,,,,"Baya misteriosa que cura varias
plagas."
